group,category,count,brier
stage,I,51,0.07531670519323411
stage,II,243,0.032181135003290263
stage,III,140,0.03706699100681058
stage,IV,66,0.01701020982614265
tumor_size,small,167,0.054359564927251434
tumor_size,medium,166,0.03065159573860824
tumor_size,large,167,0.022796455836367736
